id,lat,lon,name,type
9451069565,31.5834861,74.3096668,Naqsh School of Arts,school
9673745117,31.4639941,74.3938025,TNS Beaconhouse Defence,school
10066722817,31.5106187,74.3527941,Al Burhan,school
10066722917,31.50927,74.3527512,Al Burhan,school
10279641409,31.4267435,74.3863215,Unknown,school
11872569182,31.4952076,74.3127024,SKANS School of Accountancy ACCA Campus,school
12442461774,31.5038266,74.351436,American National School,school
12748364182,31.5153953,74.4609504,Information Technology University of the Punjab (ITU) - Barki Campus,university
13184937339,31.4467891,74.2678234,Student Service Center,university
13184937340,31.4468201,74.2676774,Examination Office,university
13184937341,31.447119,74.2678048,Admission Office,university
13184937342,31.4464015,74.2676118,UCP Cricket Ground,university
13184937343,31.4477695,74.2677542,Library,university
13184937344,31.4482171,74.2686673,C parking,university
13184937345,31.4475053,74.2686443,B Parking,university
13184937346,31.446792,74.2684531,A Parking,university
13255813504,31.4432256,74.4084934,"Leads School System, Formanites Campus",school
13382680422,31.4336654,74.2556129,The Trust School,school
13417619802,31.5439779,74.4214901,Inernational Grammar School,school
13475388701,31.4694972,74.2940988,LACAS ALJT,school
13475388702,31.463559,74.2950748,Lecole Mondiale,school
