id,highway,name,lat,lon
11279291,secondary,کالج روڈ,0,0
11280538,secondary,Ghazan Road,0,0
11280632,secondary,Johar Town Main Boulevard,0,0
11280733,tertiary,Unnamed Road,0,0
11281334,secondary,Old Ravi Road,0,0
11297594,tertiary,Unnamed Road,0,0
11686746,tertiary,Col. Sher Khan Shaheed Road,0,0
11690508,tertiary,Agha Khan Road,0,0
11695536,tertiary,Sohni Road,0,0
11695565,tertiary,Kurang Road,0,0
11698314,tertiary,Lalak Jan Road,0,0
11698389,tertiary,Rashid Minhas Boulevard,0,0
11700471,tertiary,Hill Road,0,0
11700510,tertiary,School Road,0,0
11700761,tertiary,Unnamed Road,0,0
11701723,primary,Khanna Road,0,0
11701744,primary,Lehtrar Road,0,0
11704411,secondary,Faqir Aipee Road,0,0
11943439,secondary,فیض احمد فیض روڈ,0,0
11944908,secondary,Tipu Road,0,0
11976364,tertiary,Service Road West,0,0
12149032,primary,Nazaria-e-Pakistan Avenue,0,0
12149111,tertiary,WAPDA Avenue,0,0
12149285,primary,Nazaria-e-Pakistan Avenue,0,0
12149314,primary,Nazaria-e-Pakistan Avenue,0,0
12149580,tertiary,Ravi Avenue,0,0
12149675,tertiary,NESPAK Rd,0,0
12149951,tertiary,Abbaseen Avenue,0,0
12150375,tertiary,Chashma Avenue,0,0
12153424,tertiary,Unnamed Road,0,0
12154726,tertiary,Abbaseen Avenue,0,0
12156145,tertiary,Unnamed Road,0,0
12156475,tertiary,Masood Farooqui Road,0,0
12157222,secondary,Racecourse Road,0,0
12157566,secondary,Lawrence Road,0,0
12157874,secondary,مزنگ روڈ,0,0
12157982,secondary,Lawrence Road,0,0
12158270,secondary,Queen Road,0,0
12158369,tertiary,Temple Road,0,0
12158813,tertiary,Old Anarkali Food Street,0,0
12159405,secondary,Abbott Road ایبٹ روڈ,0,0
12159579,secondary,Montgomery Road منٹگمری روڈ,0,0
12216008,secondary,Unnamed Road,0,0
12216099,secondary,Valencia Town Main Boulevard,0,0
12216178,tertiary,Engineers Town,0,0
12216222,tertiary,Engineers Town,0,0
12216375,secondary,Valencia Town Main Boulevard,0,0
12216528,secondary,Unnamed Road,0,0
12218145,tertiary,Jhelum Road,0,0
12219162,primary,Multan Road,0,0
12221519,secondary,موہنی روڈ,0,0
12221777,tertiary,Fort Road,0,0
12222719,secondary,Unnamed Road,0,0
12223554,primary,Shagian Bridge/Outfall Road,0,0
12230309,tertiary,Fort Road,0,0
12230852,tertiary,Shah Alami Road,0,0
12231050,tertiary,Thornton Road,0,0
